1 19		 # Rayleigh Phase
4 6 8 10 12 14 16 18 20 22 24. 26 28 30 32 34 36 38 40
1 19		 # Rayleigh Group
4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 
0		 # Love Phase
0		 # Love group
# 31.9626 108.646 0 1 2 0
33.7328 105.764 3.08234
34.3425 106.021 3.11394
33.3574 104.992 3.04838
33.3568 106.14 3.08015
34.1283 107.817 3.125
33.2293 106.8 3.0575
# 29.905 107.232 0 1 2 0
34.02 102.06 2.75316
26.65 104.77 2.90456
# 29.7263 107.438 0 1 2 0
34.3425 106.021 2.8272
# 29.5638 108.796 0 1 2 0
30.7519 108.461 2.84501
33.7328 105.764 2.8259
34.3425 106.021 2.85873
27.2435 105.35 3.10331
26.65 104.77 3.09379
30.4163 106.84 2.81133
30.0748 103.041 2.72257
31.3738 107.717 2.76881
33.2293 106.8 2.79457
33.3253 108.323 2.9164
32.9101 107.716 2.8823
34.0553 108.324 2.9598
# 30.245 108.37 0 1 2 0
28.875 106.917 2.95414
34.3425 106.021 2.83883
32.6698 109.037 2.80818
33.3253 108.323 2.89021
34.03 108.924 2.91254
# 28.875 106.917 0 1 2 0
27.9324 101.272 2.83541
26.8548 102.75 2.90327
30.0344 101.012 2.74824
27.8486 102.26 2.91053
33.3253 108.323 2.78472
# 30.7519 108.461 0 1 2 0
33.7328 105.764 2.85289
34.0618 103.231 2.85105
33.8114 104.381 2.84032
33.3568 106.14 2.80739
34.1283 107.817 2.95448
# 29.188 107.826 0 1 2 0
28.1789 104.516 2.86926
28.3274 103.135 2.77291
34.1283 107.817 2.82819
34.03 108.924 2.90288
# 29.8583 106.827 0 1 2 0
27.2435 105.35 2.81234
# 33.7328 105.764 0 1 2 0
34.0618 103.231 3.07616
34.4289 104.023 3.06316
33.8114 104.381 3.0645
30.991 101.121 2.96888
28.2722 103.57 2.72981
# 34.0618 103.231 0 1 2 0
30.991 101.121 2.92575
32.5932 105.228 2.96204
31.3738 107.717 2.88511
33.0183 107.01 3.0739
33.2293 106.8 3.10613
# 34.02 102.06 0 1 2 0
27.2435 105.35 2.81769
30.991 101.121 2.95641
32.0637 102.987 2.92304
28.2722 103.57 2.96141
31.6809 103.852 2.95784
32.2687 100.98 2.88533
31.7925 104.673 2.9032
# 34.4289 104.023 0 1 2 0
30.991 101.121 2.96215
32.6497 103.603 2.92692
31.479 103.588 2.98904
29.0526 103.789 2.79319
31.3738 107.717 2.88714
32.6698 109.037 3.10845
33.0183 107.01 3.07749
# 34.3425 106.021 0 1 2 0
30.3731 108.879 2.95259
28.2722 103.57 2.73047
32.4157 104.548 3.08595
32.2687 100.98 2.92737
30.0344 101.012 3.01381
# 33.3574 104.992 0 1 2 0
31.9039 102.224 3.0075
32.2687 100.98 2.95933
32.6497 103.603 3.05336
30.0344 101.012 3.0669
32.6698 109.037 3.0706
34.1283 107.817 3.05746
34.0707 107.285 2.99216
32.9101 107.716 3.07668
# 32.9497 104.677 0 1 2 0
33.5815 102.965 2.96361
31.479 103.588 3.07232
27.3219 103.717 2.79832
# 33.8114 104.381 0 1 2 0
32.0637 102.987 2.82809
29.0526 103.789 2.78632
31.3738 107.717 2.86265
30.8692 103.569 2.9693
32.6698 109.037 3.13196
33.0183 107.01 3.09944
# 27.2435 105.35 0 1 2 0
30.2762 109.494 3.08714
27.8095 103.188 3.06882
28.9958 101.512 3.02748
27.9324 101.272 2.96567
27.3839 102.542 3.02334
26.8548 102.75 2.99503
29.0526 103.789 2.86715
27.8615 102.449 2.97678
27.3219 103.717 3.03876
# 28.22 108.13 0 1 2 0
26.65 104.77 3.10156
27.8095 103.188 3.04813
28.636 104.736 2.84297
30.4163 106.84 2.89122
28.1789 104.516 3.03122
28.8724 105.414 2.82266
27.8486 102.26 2.99089
# 26.65 104.77 0 1 2 0
31.0045 104.546 2.80547
28.9958 101.512 2.98103
28.8724 105.414 2.87941
27.9324 101.272 2.89696
27.8486 102.26 2.85465
27.4669 101.678 2.97165
# 26.9071 104.303 0 1 2 0
26.653 102.253 2.97377
28.9958 101.512 2.95522
33.5815 102.965 2.96454
# 30.2762 109.494 0 1 2 0
32.6698 109.037 2.92818
33.3568 106.14 2.93592
34.1283 107.817 3.00811
34.0707 107.285 2.98973
34.03 108.924 2.9996
# 30.3731 108.879 0 1 2 0
32.6698 109.037 2.87114
34.1128 109.376 2.92418
34.3523 109.212 2.88184
32.9101 107.716 2.89931
# 31.638 104.431 0 1 2 0
32.4157 104.548 2.85687
32.5932 105.228 2.95588
33.5815 102.965 2.92302
34.03 108.924 3.07669
# 27.8095 103.188 0 1 2 0
33.5815 102.965 2.97698
32.6497 103.603 2.93806
30.8692 103.569 2.78705
# 31.8408 106.744 0 1 2 0
33.0183 107.01 2.87946
34.0707 107.285 2.99888
# 30.91 103.758 0 1 2 0
28.9958 101.512 3.06757
32.2687 100.98 2.99911
# 30.991 101.121 0 1 2 0
30.0748 103.041 2.9136
# 29.5767 103.454 0 1 2 0
30.0344 101.012 2.95955
# 30.1173 102.173 0 1 2 0
28.2722 103.57 3.0184
28.8405 103.534 3.01823
28.3274 103.135 3.01354
29.0526 103.789 3.01536
27.8615 102.449 3.03684
# 26.653 102.253 0 1 2 0
27.9324 101.272 3.00856
30.995 102.358 3.03038
30.0344 101.012 3.07989
# 32.0637 102.987 0 1 2 0
27.7143 100.862 3.03002
33.5815 102.965 2.92864
33.2293 106.8 3.12408
# 30.4163 106.84 0 1 2 0
28.3326 102.174 2.78965
33.3253 108.323 2.79649
